timestamp,device_id,device_type,room,power_consumption_kwh,carbon_emission_kg,status,temperature
2025-11-01T00:00:00.000Z,D1668,Fan,Kitchen,0.201,0.095,OFF,25.6
2025-11-01T00:10:00.000Z,D3199,Fan,Office,1.389,0.66,ON,27.9
2025-11-01T00:20:00.000Z,D9854,Heater,Bedroom,1.814,0.862,OFF,19.4
2025-11-01T00:30:00.000Z,D2491,Refrigerator,Bedroom,1.53,0.727,ON,32.5
2025-11-01T00:40:00.000Z,D1603,Laptop,Garage,2.427,1.153,OFF,22.8
2025-11-01T00:50:00.000Z,D8977,Laptop,Office,0.983,0.467,OFF,23.3
2025-11-01T01:00:00.000Z,D5608,AC,Office,2.393,1.137,OFF,33
2025-11-01T01:10:00.000Z,D2238,Laptop,Living Room,0.204,0.097,OFF,23.6
2025-11-01T01:20:00.000Z,D5108,Refrigerator,Garage,1.356,0.644,OFF,20.8
2025-11-01T01:30:00.000Z,D2676,Laptop,Bedroom,0.306,0.145,OFF,32.3
2025-11-01T01:40:00.000Z,D4237,Washing Machine,Kitchen,1.248,0.593,OFF,18.4
2025-11-01T01:50:00.000Z,D7683,Washing Machine,Kitchen,1.427,0.678,OFF,28.5
2025-11-01T02:00:00.000Z,D4967,Light,Office,1.396,0.663,ON,33.6
2025-11-01T02:10:00.000Z,D3442,Heater,Garage,0.312,0.148,OFF,23.5
2025-11-01T02:20:00.000Z,D1813,Refrigerator,Kitchen,0.457,0.217,ON,24.1
2025-11-01T02:30:00.000Z,D1604,Fan,Office,2.367,1.124,ON,30.4
2025-11-01T02:40:00.000Z,D8113,Washing Machine,Bedroom,0.667,0.317,OFF,26.7
2025-11-01T02:50:00.000Z,D6158,Laptop,Kitchen,1.459,0.693,ON,27.1
2025-11-01T03:00:00.000Z,D6502,Fan,Garage,1.158,0.55,OFF,29.6
2025-11-01T03:10:00.000Z,D6937,Light,Office,0.771,0.366,OFF,31.4
2025-11-01T03:20:00.000Z,D4895,Laptop,Garage,1.839,0.874,ON,22.7
2025-11-01T03:30:00.000Z,D8836,Laptop,Living Room,2.231,1.06,OFF,24.1
2025-11-01T03:40:00.000Z,D8476,Light,Bedroom,2.379,1.13,ON,25
2025-11-01T03:50:00.000Z,D1880,AC,Kitchen,2.487,1.181,ON,27.9
2025-11-01T04:00:00.000Z,D8759,Laptop,Kitchen,0.622,0.295,ON,22
2025-11-01T04:10:00.000Z,D7555,Laptop,Office,1.963,0.932,ON,31.7
